time_s,phase,joint_position_rad_1,joint_position_rad_2,joint_position_rad_3,joint_position_rad_4,joint_position_rad_5,joint_position_rad_6,joint_velocity_rad_s_1,joint_velocity_rad_s_2,joint_velocity_rad_s_3,joint_velocity_rad_s_4,joint_velocity_rad_s_5,joint_velocity_rad_s_6,joint_acceleration_rad_s2_1,joint_acceleration_rad_s2_2,joint_acceleration_rad_s2_3,joint_acceleration_rad_s2_4,joint_acceleration_rad_s2_5,joint_acceleration_rad_s2_6
0.6,throw,-4.2179999999999925e-06,-0.026875938000000044,-0.734756365,-8.69500000000001e-06,-0.983685707,0.962643,0.00014818500000000006,-0.45000000000000007,-0.45000000000000007,0.00033502400000000006,-0.45000000000000007,-0.0001732849999999999,0.0,0.0,0.0,0.0,0.0,0.0
0.62,followthrough,-1.2575382927160495e-06,-0.03586610466666667,-0.7437465316666667,-2.001840613135803e-06,-0.9926758736666668,0.9626395380867743,0.00014770200070987654,-0.44853333333333334,-0.44853333333333334,0.00033393211145679014,-0.44853333333333334,-0.00017272019330246503,-4.775100617283969e-05,0.1450000000000006,0.1450000000000006,-0.000107948167901235,0.1450000000000006,5.5838783951012874e-05
0.64,followthrough,1.6839327960493827e-06,-0.044798604666666665,-0.7526790316666667,4.648387644839504e-06,-1.0016083736666666,0.9626360983806855,0.00014629691654320987,-0.4442666666666667,-0.4442666666666667,0.0003307557009382716,-0.4442666666666667,-0.000171077123950602,-9.220849382716081e-05,0.280000000000001,0.280000000000001,-0.00020845218765432174,0.280000000000001,0.0001078262716056476
0.6599999999999999,followthrough,4.5886302699999995e-06,-0.05361943799999999,-0.761499865,1.1215483168e-05,-1.010429207,0.96263270167673,0.00014403561749999998,-0.43739999999999996,-0.43739999999999996,0.000325643652,-0.43739999999999996,-0.00016843281749996805,-0.00013337250000000042,0.40500000000000136,0.40500000000000136,-0.00030151200000000096,0.40500000000000136,0.00015596250000094705
0.6799999999999999,followthrough,7.440088525432098e-06,-0.062278604666666675,-0.7701590316666667,1.7662222033382712e-05,-1.0190883736666667,0.9626293672294005,0.00014098397283950615,-0.42813333333333325,-0.42813333333333325,0.000318744849382716,-0.42813333333333325,-0.0001648642987653794,-0.00017124306172839555,0.5200000000000016,0.5200000000000016,-0.0003871275456790135,0.5200000000000016,0.00020024750617395412
0.7,followthrough,1.022315933641975e-05,-0.07073010466666667,-0.7786105316666666,2.3954358024691357e-05,-1.0275398736666665,0.9626261127527007,0.0001372078510802469,-0.4166666666666666,-0.4166666666666666,0.0003102081790123456,-0.4166666666666666,-0.00016044859182091152,-0.0002058202160493833,0.6250000000000018,0.6250000000000018,-0.00046529876543210014,0.6250000000000018,0.00024068132716171178
0.72,followthrough,1.2924011839999997e-05,-0.078931938,-0.786812365,3.0060622655999996e-05,-1.035741707,0.9626229544201601,0.00013277311999999997,-0.4031999999999999,-0.4031999999999999,0.00030018252799999986,-0.4031999999999999,-0.00015526271999989898,-0.00023710400000000051,0.7200000000000016,0.7200000000000016,-0.0005360256000000012,0.7200000000000016,0.0002772640000012627
0.74,followthrough,1.5530132521358025e-05,-0.08684610466666667,-0.7947265316666666,3.5952725195456783e-05,-1.0436558736666666,0.962619906864849,0.00012774564663580243,-0.38793333333333313,-0.38793333333333313,0.00028881678464197515,-0.38793333333333313,-0.00014938370589493544,-0.0002650944506172845,0.8050000000000017,0.8050000000000017,-0.000599307990123458,0.8050000000000017,0.00030999556172964997
0.76,followthrough,1.8030325199012343e-05,-0.09443860466666666,-0.8023190316666666,4.1605352688987646e-05,-1.0512483736666667,0.9626169831793937,0.00012219129728395056,-0.3710666666666665,-0.3710666666666665,0.00027625983841975295,-0.3710666666666665,-0.00014288857135787378,-0.0002897916049382721,0.8800000000000014,0.8800000000000014,-0.0006551458765432108,0.8800000000000014,0.00033887604938391633
0.78,followthrough,2.0414711009999996e-05,-0.10167943799999998,-0.8095598649999999,4.699616998399999e-05,-1.058489207,0.9626141949159901,0.00011617593749999992,-0.3527999999999998,-0.3527999999999998,0.0002626605799999998,-0.3527999999999998,-0.00013585433749982597,-0.0003111955000000005,0.9450000000000014,0.9450000000000014,-0.0007035392000000009,0.9450000000000014,0.00036390550000110484
